Title,Artist,Date,Medium,Dimensions,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
",The Photography Council Fund,422.2011.39,Photograph,Photography,2011-05-18,N,161888,,,,,,20.3,,,25.3,,
Hôtel de Sully-Charost"," 11 rue du Cherche-Midi""",(Male),1904-05,Albumen silver print,39982,http://www.moma.org/media/W1siZiIsIjI4MzYyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9920ea883cc4b8f8,,,,21.59,,,16.6688,
Untitled,Unknown photographer,c. 1938–60,Gelatin silver print,"Approx. 2 × 2"" (5.1 × 5.1 cm)",http://www.moma.org/collection/works/275368,,,,5.08001016,,,5.08001016,,
"Paternity, plate 12 of 14, from the portfolio, Autobiographical Series",Louise Bourgeois,1993,Drypoint,"plate: 4 3/4 x 8 7/8"" (12.1 x 22.6 cm); sheet: 11 7/16 x 14 3/8"" (29 x 36.5 cm)",http://www.moma.org/collection/works/71787,,,,12.1,,,22.6,,
"Competition for Chairs and Tables, Festival of Misfits, ICA, London, October 23- November 8, 1962",Daniel Spoerri,1962,Gelatin silver print,"sheet: 10 × 8"" (25.4 × 20.3 cm)",,,,,25.4,,,20.3,,
"Looking out from Black Hawks Cave, Wisconsin Dells",Henry Hamilton Bennett,c. 1885,"Gelatin silver print, printed later","13 5/8 × 10 11/16"" (34.6 × 27.1 cm)",,,,,34.6,,,27.1,,
A une dame que le poète avait connue fille et qu'il revoit devenue femme très belle from Vingt poëmes,Pablo Picasso,"1947, published 1948","Aquatint from an illustrated book with 26 aquatints (ten with drypoint, six with engraving, and two with etching), 14 drypoints (one with engraving), and one engraving","composition (irreg.): 12 5/8 x 8 1/8"" (32 x 20.6 cm); page: 14 15/16 x 11 1/8"" (38 x 28.2 cm)",http://www.moma.org/collection/works/29545,,,,32.0,,,20.6,,
A Sheet of White Paper Ready to Be Written on by Psi from The Whole Works,Yutaka Matsuzawa,1971,Paper from a portfolio of 71 prints,"sheet: 10 3/16 x 10 3/16"" (25.8 x 25.8 cm)",http://www.moma.org/collection/works/124600,,,,25.8,,,25.8,,
<<JÔ>> N °392 from Alphabet Bété,Frédéric Bruly Bouabré,1991,"Colored pencil, pencil, and ballpoint pen on board","3 7/8 × 5 7/8"" (9.8 × 14.9 cm)",http://www.moma.org/collection/works/299417,,,,,,,,,
In-text plate (page 97) from PANTAGRUEL,André Derain,1943,,"composition  3 15/16 x 3 1/8"" (10 x 7.9 cm)",,,,,10.0,,,7.9,,
Black over Colors,Sol LeWitt,1992,Gouache and watercolor on paper,"13 5/8 x 9 1/4"" (34.6 x 23.5 cm)",http://www.moma.org/collection/works/36636,,,,34.6,,,23.5,,
Untitled from Graph Bloc (Bloc milimetrado),Nicolás Paris,2011,One from a set of nine lithographs,"composition: 7 1/2 x 11 7/16"" (19 x 29 cm); sheet: 8 1/4 x 12 1/16"" (20.9 x 30.7 cm)",http://www.moma.org/collection/works/187938,,,,19.0,,,29.0,,
"Untitled from the series ""Providential Nocturnes""",John E. Mullin,1989,Chromogenic color print,"18 11/16 × 14 5/8"" (47.5 × 37.2 cm)",http://www.moma.org/collection/works/50893,,,,47.5,,,37.2,,
Classified Ads from Newspaper Book,Chryssa (Chryssa Vardea-Mavromichali),1962,One from a series of twenty-two offset photolithographs,"composition: 29 1/8 x 21 1/8"" (74 x 53.7 cm); sheet: 29 1/8 x 21 1/8"" (74 x 53.7 cm)",http://www.moma.org/collection/works/73927,,,,74.0,,,53.7,,
Frontispiece from LITRES,Geneviève Asse,1968-1969,,"irreg. composition  5 7/16 x 5 1/2"" (13.8 x 13.9 cm)",,,,,13.8,,,13.9,,
"Moskovskaia Amerika. Pervaia kniga stikhov, 1919-1923",Unknown Artist,1924,,"Page: 7 1/16 x 5 1/4"" (18 x 13.4 cm)",,,,,18.0,,,13.4,,
Vase,Koloman Moser,1902,Glass,"6 x 6 x 6"" (15.2 x 15.2 x 15.2 cm)",http://www.moma.org/collection/works/3872,,15.24,,15.24,,,15.24,,
Untitled,Markus Raetz,1986,Etching and aquatint,"plate  6 1/2 x 8 9/16"" (16.5 x 21.7 cm)
When I Think Back..REA,Lester Beall,409,(American","38 1/8 x 29 3/4"" (97.1 x 75.7 cm)",862.1979,Design,Architecture & Design,1979-05-30,Y,8280,http://www.moma.org/collection/works/8280,http://www.moma.org/media/W1siZiIsIjIzMDU5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ad5cdd132b12aca2,
In the Dell,Betye Saar,1960,Etching,"plate: 10 × 14 15/16"" (25.4 × 38 cm); sheet (irreg.): 11 11/16 × 17 1/8"" (29.7 × 43.5 cm)",http://www.moma.org/collection/works/284160,,,,25.4,,,38.0,,
Annual Fair (Jahrmarkt),Max Beckmann,"(1921, published 1922)",Nine drypoints from a portfolio of ten drypoints,"sheet (each approximately): 20 7/8 x 14 15/16"" (53 x 38 cm); plate: various dimensions, see child records",http://www.moma.org/collection/works/70588,,,,53.0,,,38.0,,
Untitled from Campbell's Soup I,Andy Warhol,1968,One from a portfolio of ten screenprints,"composition: 31 7/8 x 18 7/8"" (81 x 48 cm); sheet: 35 1/8 x 23 1/8"" (89.2 x 58.7 cm)",http://www.moma.org/collection/works/72310,,,,81.0,,,48.0,,
Just For You Rubber Stamp,Ken Friedman,c. 1967,Rubber stamp,"3 1/16 x 1 1/4 x 1 11/16"" (7.7 x 3.2 x 4.3 cm)",,,4.3,,7.7,,,3.2,,
In-text plate (page 86) from Cirque de l'étoile filante (The Shooting Star Circus),Georges Rouault,1938,Wood engraving from an illustrated book with seventy-four wood engravings and seventeen aquatint and etchings (eleven with drypoint),"composition (irreg.): 2 3/8 × 7 7/8"" (6 × 20 cm); page (irreg.): 17 5/16 × 13 3/16"" (44 × 33.5 cm)",http://www.moma.org/collection/works/30430,,,,6.0,,,20.0,,
"IIT Master Plan, Chicago, Illinois, Civil Engineering Department.  Plan",Ludwig Mies van der Rohe,1939,Pencil on paper,"8 1/2 x 13"" (21.6 x 33 cm)",Drawings & Prints,N,104779,,,,,,47.0,
".4 (spoon: 7 9/16 x 1 7/16"""" (19.2 x 3.6 cm)"
Polarities. 1972 from Projects by Dennis Oppenheim,Dennis Oppenheim,1973,One from a portfolio of ten lithographs,"composition: 21 7/8 x 30 1/16"" (55.5 x 76.3 cm); sheet: 22 3/8 x 30 1/16"" (56.8 x 76.3 cm)",http://www.moma.org/collection/works/166096,,,,55.5,,,76.3,,
Notation for Braun Jet,Nam June Paik,1985,Cut-and-taped printed paper with felt-tip pen,"sheet (irreg.): 15 1/2 x 11 13/16"" (39.3 x 30 cm)",,,3.3,,57.0,,,47.7,,
In-text plate (page 304) from La 628-E8,Pierre Bonnard,1908,One from an illustrated book with 104 line block reproductions after drawings (including front cover),"composition (irreg.): 2 13/16 × 3"" (7.1 × 7.6 cm); page (each): 9 7/16 × 7 9/16"" (24 × 19.2 cm)",http://www.moma.org/collection/works/155515,,,,7.1,,,7.6,,
Aix-en-Provence,Harry Callahan,1957,Gelatin silver print,"7 × 9"" (17.8 × 22.8 cm)",http://www.moma.org/collection/works/55106,,,,17.8,,,22.8,,
Any Magazine No. 13,"Michael Rock, Susan Sellers, Georgianna Stout",1996,Offset lithography,"15 x 11"" (38.1 x 27.9 cm)",http://www.moma.org/collection/works/112290,,,,38.1001,,,27.9401,,
",Gift of John Elderfield,168.2003,Print,Drawings & Prints,2003-06-05,Y,88019,http://www.moma.org/collection/works/88019,,,,,62.2301,,,66.3576,,
Plate (page 58) from POÈMES,Henri Matisse,3832,(French"," 1869–1954)""","irreg. composition  15 3/16 x 9 5/16"" (38.6 x 23.7 cm)",The Louis E. Stern Collection,934.1964.51,,,38.6,,,23.7,,
Untitled,John Brook,1960,Gelatin silver print (chloride),"9 5/8 × 7 3/4"" (24.5 × 19.5 cm)",http://www.moma.org/collection/works/53295,,,,24.5,,,19.5,,
Observation of Sound,Idelle L. Feinberg,1955,Charcoal on paper,"15 3/4 x 22 1/4"" (40.2 x 56.5 cm)",http://www.moma.org/collection/works/38137,,,,40.0,,,56.5,,
Painted Iron,Waltercio Caldas,1978,Painted iron,"47 1/4 x 47 1/4 x 9/16"" (120 x 120 x 1.5 cm)",http://www.moma.org/collection/works/221974,,,,,,,,,
"What It's Like, What It Is #3",Adrian Piper,1991,"Video Installation: Wood constructions, mirrors, lighting, 4 videodiscs, videotape, music soundtrack, dimensions variable. #91001.
Geometry and Texture of Landscape,László Moholy-Nagy,4048,(American"," born Hungary. 1895–1946)""",Anonymous gift,Photograph,Photography,1940-04-05,Y,54429,http://www.moma.org/collection/works/54429,http://www.moma.org/media/W1siZiIsIjI1Mjk1MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0f27544901ab2733,,
Grave Yard from Capriccios,William Gropper,1953–57,One from a portfolio of fifty lithographs,"composition (irreg.): 13 3/4 × 9 7/16"" (35 × 24 cm); sheet: 16 3/16 × 12 3/16"" (41.1 × 31 cm)",http://www.moma.org/collection/works/216706,,,,35.0,,,24.0,,
Pitcher,Gianfranco Frattini,1983,Frosted hand-blown glass,"7 3/16 x 5 1/8"" (18.2 x 13 cm)",http://www.moma.org/collection/works/3430,,,,18.2,,,13.0,,
"Lines, Not Long, Not Heavy, Not Touching, Drawn at Random (Circle)",Sol LeWitt,1970,Lithograph,"composition (irreg.): 10 7/8 x 9 5/16"" (27.7 x 23.6 cm); sheet: 17 3/8 x 12 9/16"" (44.1 x 31.9 cm)",http://www.moma.org/collection/works/65196,,,,27.7,,,23.6,,
Comedy C.7,Jiþi Anderle,1968,"Mezzotint, drypoint and engraving","Plate 25 3/16 x 19 1/2"" (64.0 x 49.5 cm) Sheet 29 11/16 x 21 1/4"" (75.4 x 54.0 cm)08/31/72",,,,,64.0,,,49.5,,
Operacja Konieczna,Roman Cieslewicz,1956,Offset lithograph,"24 x 34"" (61 x 86.4 cm)",http://www.moma.org/collection/works/5145,,,,61.0,,,86.4,,
",MR6204.75,Mies van der Rohe Archive,Architecture & Design,,Y,199082,http://www.moma.org/collection/works/199082,,,,,53.3401066802,,,133.3502667005,,
",Gift of Mr. and Mrs. G. Alan Chidsey,http://www.moma.org/collection/works/38639,,,
Uncut printer's sheet of Maciunas designed tickets,Various Artists,1970,Offset,,,,0.0,,0.0,,,0.0,,
"Cafe Waitress, John's Cafe, Sandy, Bedfordshire",Paul Graham,May 1982,"Pigmented inkjet print, printed 2011","8 × 9 15/16"" (20.3 × 25.3 cm) 
Untitled from Graphic Primitives,Terry Winters,6408,(American","composition (each): 17 15/16 x 24"" (45.6 x 60.9 cm); sheet: 20 1/2 x 26 3/16"" (52 x 66.5 cm)",78.1999.1,Print,Drawings & Prints,1999-03-04,Y,86726,http://www.moma.org/collection/works/86726,http://www.moma.org/media/W1siZiIsIjY0NTUyIl0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=7608ea6d3e30e8ef,
Working with Orchestra. (Rabota s orkestrom),Aleksandr Rodchenko,1933,Gelatin silver print,"11 7/16 × 17 1/4"" (29 × 43.9 cm)",http://www.moma.org/collection/works/44755,,,,29.0,,,43.9,,
Plate (folio 27) from VIET NAM!,Antonio Frasconi,1967,"Relief halftone, printed in color","irreg. composition  20 3/4 x 13 15/16"" (52.7 x 35.4 cm)",,,,,52.7,,,35.4,,
Untitled (Palace of Knossos),Manfred Pernice,1999-2000,"Pencil, watercolor, and colored pencil on cut-and-pasted paper with pressure-sensitive tape on printed paper","11 5/8 x 8 1/4"" (29.5 x 21 cm)",http://www.moma.org/collection/works/82291,,,,29.5276,,,20.955,,
Untitled from Nosotros no sabíamos (We Didn't Know),León Ferrari,"1976–92, printed 2007",One from a series of eighty-two photocopies,"page: 16 9/16 × 11 3/4"" (42 × 29.8 cm)",http://www.moma.org/collection/works/407171,,,,42.0,,,29.8,,
Untitled from Matrix for Series of Twenty-two Photostats,Fred Sandback,c. 1982,"One from a series of twenty-two drawings, pencil on vellum","sheet: 5 7/8 x 9"" (15 x 22.9 cm)",,,,,22.9,,,15.0,,
Liquid Skin Drinking Cup,Barbara Ambrosz,1998,Blown glass,"2 x 5 1/8 x 4 1/8"" (5.1 x 13 x 10.5 cm)",http://www.moma.org/collection/works/82717,,10.4775,,5.08,,,13.0175,,
Set design for scene two of the ballet H.P. (Horsepower),Diego Rivera,c.1927–32,Watercolor and pencil on paper,"5 3/8 x 8 1/4"" (13.7 x 21 cm)",http://www.moma.org/collection/works/85376,,,,13.6525,,,20.955,,
Untitled,Robert Morris,1969,Felt-tip pen on transparentized paper,"20 x 25 1/2"" (50.8 x 64.8 cm)",http://www.moma.org/collection/works/90713,,,,50.8001,,,64.7701,,
"Clearing Storm, Sonoma County Hills, California",Ansel Adams,1951,"Gelatin silver print, printed 1963","8 5/16 × 11 1/2"" (22.7 × 29.3 cm)",http://www.moma.org/collection/works/58286,,,,22.7,,,29.3,,
"Untitled, no. 3 of 12, from the series, Spirals",Louise Bourgeois,2005,Woodcut,"sheet: 14 x 16 5/8"" (35.5 x 42.2 cm)",http://www.moma.org/collection/works/106146,,,,35.5,,,42.2,,
Fluxus 1,Various Artists,c. 1966,"Book with offset, metal bolts and stamped ink, containing objects in various media, in wood box",,,,,,,,,,,
"Lavori in Corso, Galleria d'Arte Moderna, Bologna",A. G. Fronzoni,1981,Lithograph,"38 7/8 x 27"" (98.7 x 68.6 cm)",http://www.moma.org/collection/works/142279,,,,98.7,,,68.6,,
.2 (support," wall buttons): 2 3/4 x 3 1/8"""" (7 x 7.9 cm)""",4418,http://www.moma.org/collection/works/4418,http://www.moma.org/media/W1siZiIsIjIxMTg2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0cca1374f3d5b68d,
Poster of the French National Railroad,Album-miscellaneous,1900-1943,,,,,,,,,,,,
"New Canaan, Connecticut",Nicholas Nixon,1976,Gelatin silver print,"7 11/16 × 9 5/8"" (19.6 × 24.5 cm)",http://www.moma.org/collection/works/56068,,,,19.6,,,24.5,,
Untitled (Waiting),Philip Guston,1972,Oil on paper,"30 1/4 x 40"" (76.8 x 101.6 cm)",http://www.moma.org/collection/works/82565,,,,76.8352,,,101.6002,,
Double page plate (folios 2 verso and 3) from LITRES,Geneviève Asse,1968-1969,,"Comp. (double-page, irreg.):  1 7/16 x 10 15/16""  (3.7 x 27.9 cm)",,,,,3.7,,,27.9,,
Ein besonderes Weihnachts Geschenk ist ein,Unknown Artist,Unknown,Letterpress,"6 1/8 x 4 5/16"" (15.5 x 11 cm)",http://www.moma.org/collection/works/7903,,,,15.5,,,11.0,,
Eight costume designs for the ballet Promenade,Forrest Thayer,1936,"Watercolor and pencil on paper, one with stapled fabric and one with clipped fabric",dimensions vary,,,,,,,,,,
",Gift of Kleiner"," Bell & Co.""",http://www.moma.org/collection/works/77564,,,
Eagle No. 25 Positive/Negative,Georg Baselitz,1981 (printed 1977),Linoleum cut,"composition: 23 3/16 x 21 1/2"" (58.9 x 54.6cm); sheet: 34 x 24 1/8"" (86.3 x 61.2cm)",http://www.moma.org/collection/works/62136,,,,58.9,,,54.6,,
"Book cover for ""Nationalism and History"" by Simon Dubnow",Elaine Lustig Cohen,1960,Lithograph,"(8 x 11 1/2"")",,,,,,,,,,
Hallcraft/Tomorrow's Classic Sauce Boat with Ladle,Eva Zeisel,c. 1949-50,Glazed earthenware,".1 (sauce boat): 6 1/4 x 6 1/2 x 5 1/4"" (15.9 x 16.5 x 13.3 cm) 
Note XI (State II) from Notes,Barnett Newman,4285,(American","plate: 5 13/16 x 2 7/8"" (14.7 x 7.3 cm); sheet: 19 15/16 x 14"" (50.7 x 35.5 cm)",33.1979.16,Print,Drawings & Prints,1979-01-23,Y,60529,http://www.moma.org/collection/works/60529,http://www.moma.org/media/W1siZiIsIjE5MDEwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6b3063c639cd5d7c,
Histoire Naturelle,Démétrius Emmanuel Galanis,1939,39 etchings (including head and tailpieces and pictorial initials),"irreg. page  14 3/16 x 11 1/4"" (36 x 28.5 cm)
Feast of Passover,Max Weber,6275,(American","composition: 7 3/4 x 6"" (19.7 x 15.2 cm); sheet: 6 3/4 x 9 1/8"" (17.2 x 23.2 cm)",1464.1940,Print,Drawings & Prints,1940-04-05,Y,76881,http://www.moma.org/collection/works/76881,http://www.moma.org/media/W1siZiIsIjE2MTU2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=476bbd259c603ccd,
(Female Portrait; Fly On Right Hand),George Platt Lynes,n.d.,Gelatin silver print,"7 1/16 × 9 1/8"" (19.0 × 24.2 cm)",,,,,19.0,,,24.2,,
The Little Leeches,Louise Bourgeois,2007,"Etching, with hand additions","plate: 58 11/16 × 19 7/16"" (149.1 × 49.3 cm); sheet: 58 7/8 × 19 1/2"" (149.5 × 49.5 cm)",http://www.moma.org/collection/works/147573,,,,149.1,,,49.3,,
Haircut No. 3,Andy Warhol,1963,,,,,,,,,,,,
"Page (irreg.): 10 5/8 x 7 5/16"""" (27 x 18.5 cm)""",J. Henry Schroder Bank and Trust Company Fund,http://www.moma.org/collection/works/13576,,,
Untitled,Gertrudes Altschul,c. 1952,Gelatin silver print,"10 13/16 × 12 3/16"" (27.5 × 31 cm)",http://www.moma.org/collection/works/200011,,,,27.4638049276,,,30.9563119126,,
Drawer 384 / 414,George Maciunas,,"File cabinet drawer, containing objects in various media",,,,0.0,,0.0,,,0.0,,
The Mirror of Venus (Die Spiegel der Venus) from Classical Legends (Antike Legenden),Lovis Corinth,1919,One from a portfolio of twelve drypoints with one additional drypoint (variant of plate 1),"plate: 19 3/16 x 24 1/8"" (48.8 x 61.3 cm); sheet (irreg.): 7 11/16 x 10 5/16"" (19.5 x 26.2 cm)",http://www.moma.org/collection/works/66876,,,,48.8,,,61.3,,
Midnight + Noon VIII from Midnight and Noon,Josef Albers,1964,One from a portfolio of eight lithographs,"composition: 15 3/4 x 15 3/4"" (40 x 40 cm); sheet: 18 7/8 x 20 9/16"" (48 x 52.2 cm)",http://www.moma.org/collection/works/76343,,,,40.0,,,40.0,,
Panoramic snapshots from an album of the family of the Czar of Russia,Unknown photographer,1903-08,Gelatin silver printing-out-paper prints,"Album (closed): 7 7/8 × 13"" (20 × 33 cm)",http://www.moma.org/collection/works/82718,,,,20.0,,,33.0,,
Untitled,Unknown photographer,c. 1938–60,Gelatin silver print,"Approx. 2 × 2"" (5.1 × 5.1 cm)",http://www.moma.org/collection/works/277484,,,,5.08001016,,,5.08001016,,
Acoustica,Louise Bourgeois,2000–2003,"Drypoint, with hand additions","plate: 10 1/16 x 7 3/8"" (25.5 x 18.8 cm); sheet: 15 3/8 x 11"" (39 x 28 cm)",http://www.moma.org/collection/works/84565,,,,25.5,,,18.8,,
Plate (folio 20) from Salt Notes,James Brown,"1989, published 1990","Lithograph from an illustrated book with fifteen aquatints (four with collage additions and two with lithography), ten lithographs, and two oil drawings","composition (irreg.): 22 1/16 × 9 1/8"" (56 × 23.2 cm); page (each): 22 1/8 × 18 7/16"" (56.2 × 46.9 cm)",http://www.moma.org/collection/works/9645,,,,56.0,,,23.2,,
Untitled,Robert Morris,1964,Molded sheet lead over wood with painted wood pieces and steel wire,"10 1/2 x 12 3/8 x 2"" (26.6 x 31.4 x 4.9 cm)",http://www.moma.org/collection/works/81539,,4.9,,26.6,,4.0824,31.4,,
Saint-Cloud,Eugène Atget,1906,Albumen silver print,"Approx. 7 × 8 7/8"" (17.8 × 22.5 cm)",http://www.moma.org/collection/works/41940,,,,,,,,,
"Noémie (plate, facing page 90) from D'Ariane à Zoé",Jean Launois,1930,Lithograph from an illustrated book with 26 lithographs and supplementary suite,"composition (irreg.): 7 1/2 × 4 13/16"" (19 × 12.2 cm); page: 11 7/16 × 8 7/8"" (29 × 22.5 cm)",,,,,19.0,,,12.2,,
"Les seins et le sexe, 1949 from Fautrier l'enragé",Jean Fautrier,1949,Etching and aquatint from the supplementary suite of twelve etchings (eight with aquatint) and one aquatint,"plate: 7 13/16 x 9 7/16"" (19.8 x 24 cm); sheet: 19 3/8 x 14 7/8"" (49.2 x 37.8 cm)",http://www.moma.org/collection/works/158444,,,,19.8,,,24.0,,
"Straight/Straight, Not-straight (plate, folio 7) from Grids, Using Straight Lines, Not-Broken Lines and Broken Lines in all Their Possible Combinations",Sol LeWitt,1973,One from an illustrated book with twenty-eight etchings,"composition and page: 10 9/16 × 10 9/16"" (26.9 × 26.9 cm)",http://www.moma.org/collection/works/12509,,,,,,,,,
Fruit Tramp Luther Henry,Herman Emmet,1979,Gelatin silver print,"13 × 19"" (33.1 × 48.3 cm)",http://www.moma.org/collection/works/47041,,,,33.1,,,48.3,,
Which Way Out?,Leo Lionni,1954,Offset lithograph,"45 3/4 x 29 5/8"" (116.3 x 75.3 cm)",http://www.moma.org/collection/works/6321,,,,116.3,,,75.3,,
"Half Dome, Thunder Cloud",Ansel Adams,c. 1956,"Gelatin silver print, printed 1960","9 9/16 × 6 5/8"" (24.3 × 16.8 cm)",,,,,24.3,,,16.8,,
"""That Ye Love One Another"" («Aimez-vous les uns les autres»), plate XXXI from Miserere",Georges Rouault,"1923, published 1948","Aquatint and drypoint with roulette over photogravure from an illustrated book with 22 aquatints over photogravure (19 with drypoint, 18 with roulette, five with etching)","plate: 23 3/8 x 16 7/8"" (59.3 x 42.8 cm)",http://www.moma.org/collection/works/11140,,,,59.3,,,42.8,,
"sheet  32 9/16 x 23"""" (82.8 x 58.5 cm)""","Gift of Kleiner, Bell & Co.",,,,
Poster for International Women Workers’ Day,Valentina Kulagina,1930,Lithograph,"42 7/8 × 28 3/8"" (108.9 × 72.1 cm)",http://www.moma.org/collection/works/217704,,0.0,,108.9027178054,,,72.0726441453,,
133675 Region No. 22245-No. 22259,Tatsuo Miyajima,1991,Cut-and-pasted photocopies and cut-and-pasted board on paper with ink and colored ink,"13 5/8 × 19"" (34.6 × 48.3 cm)",http://www.moma.org/collection/works/289253,,,,34.6075692151,,,48.2600965202,,
Plate (page 313) from Les Petites Fleurs de St. François (The Little Flowers of St. Francis),Émile Bernard,1928,One from an illustrated book with 329 woodcuts,"composition (irreg.): 7 5/16 × 5 11/16"" (18.6 × 14.4 cm); page: 12 13/16 × 9 13/16"" (32.5 × 25 cm)",http://www.moma.org/collection/works/20477,,,,18.6,,,14.4,,
"HURSTMONCEAUX, SUSSEX, HENRY VII",Alfred Capel Cure,May 1856,Albumen silver print from a paper negative,"8 3/8 × 10 11/16"" (21.3 × 27.2 cm)",,,,,21.3,,,27.2,,
Fluxus 1,Various Artists,c. 1966,"Book with offset, metal bolts and stamped ink, containing objects in various media, in wood box",,,,,,,,,,,
The Violinist,Clarence H. White,1897,Platinum print,"7 7/8 × 3 3/8"" (20.0 × 8.6 cm)",http://www.moma.org/collection/works/55567,,,,20.0,,,8.6,,
The Sea - Galilee,Benton Spruance,1961,Lithograph,"composition (irreg.): 24 5/8 x 17 15/16"" (62.6 x 45.6cm); sheet: 30 x 22 1/4"" (76.2 x 56.5cm)",http://www.moma.org/collection/works/74948,,,,62.6,,,45.6,,
Kiss the Girls: Make Them Cry,Dara Birnbaum,1979,"Video (color, sound)",6:50 min.,http://www.moma.org/collection/works/118203,,,,,,,,,0.0
"THE SECOND ONE HAS ABUNDANT HAIR WHICH SHINES AND FLOWS IN LONG SILK GARLANDS (plate, facing page 46) from LE JARDIN DES SUPPLICES",Auguste Rodin,1902,,"irreg. composition  10 7/8 x 8 11/16"" (27.7 x 22 cm)",,,,,27.7,,,22.0,,
Alfred Stieglitz,Frank Eugene,1900,Photogravure,"6 1/4 × 4 7/16"" (15.9 × 11.2 cm)
merci. mercy.,Louise Bourgeois,710,(American","plate: 17 3/4 x 27 3/8"" (45.1 x 69.6 cm); sheet: 20 3/4 x 29 15/16"" (52 x 76.1 cm)",632.1993,Print,Drawings & Prints,1993-11-17,Y,72208,http://www.moma.org/collection/works/72208,http://www.moma.org/media/W1siZiIsIjE2MzUxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=fc9462925dac4921,
"The Garden (Der Garten) (headpiece, page 58) from Umbra vitae (Shadow of Life)",Ernst Ludwig Kirchner,1924,Woodcut from an illustrated book of fifty woodcuts,"composition: 2 5/8 x 3"" (6.7 x 7.6 cm); page: 9 1/16 x 6 1/8"" (23 x 15.6 cm)",http://www.moma.org/collection/works/26701,,,,6.7,,,7.6,,
Spacer Fabric for Athletic Shoes,"Synthetic Industries, Chattanooga, TN",1986,Polypropylene and polyethelene,"66 x 120 x 1/2"" (167.6 x 304.8 x 1.3 cm)",http://www.moma.org/collection/works/1561,,1.27,,167.6403,,,304.8006,,
English Machine Tools,Charles Thurston Thompson,1862 or 1867,Albumen silver print,"8 3/4 × 11 7/16"" (22.2 × 29.1 cm)",,,,,22.2,,,29.1,,
Tuileries - Jardin de l'impereur,Eugène Atget,1912,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",http://www.moma.org/collection/works/41133,,,,,,,,,
Feltron Annual Reports,Nicholas Felton,2010,Letterpress and lithograph,".14 (2010 poster): 24 x 20"" (61 x 50.8 cm)",,,,,60.9601219202,,,50.8001016002,,
"Boulangerie, Bruynooghe, Successeur de Demersseman, rue de Tournai, Société Lumière – Lyon,  Ath",Unknown photographer,1906,Gelatin silver print,"Approx. 3 9/16 × 5 1/2"" (9 × 14 cm)",http://www.moma.org/collection/works/405039,,,,,,,,,
"page  8 3/8 x 6 9/16"""" (21 x 16.7 cm)""",Given anonymously,,,,
Urban Walls: Cincinnati,Barron Krody,1971,Offset Lithograph,,http://www.moma.org/collection/works/4937,,,,,,,,,
Plate 3 (folio 4) from INTERLUDE,Richard Tuttle,1974,"Lithograph, printed in color, with china-marker additions","irreg. composition  12 3/16 x 18 1/16"" (31 x 45.9 cm)",,,,,31.0,,,45.9,,
"Sheet: 15 3/4 x 10 3/4"""" (40 x 27.3 cm)"
"Entrance of the Church of the Holy Sepulchre, Jerusalem (Plate 17)",Francis Frith,1858-60,Albumen silver print,"9 × 6 1/2"" (22.9 × 16.5 cm)",http://www.moma.org/collection/works/44542,,,,22.9,,,16.5,,
Texas,Henri Cartier-Bresson,1960,"Gelatin silver print, printed 1963","13 15/16 × 9 1/2"" (35.5 × 24.2 cm)",http://www.moma.org/collection/works/57973,,,,35.5,,,24.2,,
",Purchase,10.1993.51,Print,Drawings & Prints,1993-01-18,N,101403,,,,,,9.0,,,67.9,,
Two Guedras"," Morocco""",(Male),1971,"Platinum/palladium print, printed 1977",55581,,,,,53.5,,,43.4,
Two Scents Worth,Chuck Jones,1955,35mm film,,,,,,,,,,,
"NORTHAMPTON COUNTY, EASTVILLE, VIRGINIA",Richard Pare,1975-76,Gelatin silver print,"7 1/2 × 9 7/16"" (19.1 × 24.0 cm)",,,,,19.1,,,24.0,,
Untitled from City of Eyes,Rodolfo Abularach,1966,One from a portfolio of ten lithographs,"composition: 10 x 10"" (25.4 x 25.4 cm); sheet: 12 1/8 x 12 1/8"" (30.8 x 30.8 cm)",http://www.moma.org/collection/works/77714,,,,25.4000508001,,,25.4000508001,,
