Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
Sainte Sébastienne,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),1990,"Drypoint, with hand additions","plate: 16 3/4 x 9 15/16"" (42.5 x 25.3 cm); sheet: 25 3/4 x 19 5/8"" (65 x 49.9 cm)",Gift of the artist,593.1993,Print,Drawings & Prints,1993-11-17,Y,71618,http://www.moma.org/collection/works/71618,http://www.moma.org/media/W1siZiIsIjE1ODk4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=9e2d71b9aad35c93,,,,42.5,,,25.3,,
"Reich Apartments in the Boarding House, The Dwelling of our Time, German Building Exhibition, Berlin, Germany (Plan)",Lilly Reich,8059,"(German, 1885–1947)",(German),(1885),(1947),(Female),1931,Pencil on tracing paper,"11 1/4 x 20 3/4"" (28.6 x 52.7 cm)","Lilly Reich Collection, Mies van der Rohe Archive",R9.101,Mies van der Rohe Archive,Architecture & Design,,N,145344,,,,,,28.5750571501,,,52.7051054102,,
"Dancer (plate, folio 14) from the illustrated book La Chèvre-Feuille",Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(Male),1943,"Etching over relief halftone, relief printed","composition (irreg.): 10 11/16 x 8 1/4"" (27.1 x 21 cm); page: 11 x 8 7/8"" (28 x 22.5 cm)",The Louis E. Stern Collection,979.1964.A02,Illustrated Book,Drawings & Prints,1964-10-06,Y,29478,http://www.moma.org/collection/works/29478,http://www.moma.org/media/W1siZiIsIjE3Mzg5OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3111257350350215,,,,27.1,,,21.0,,
Zapatistas,José Clemente Orozco,4430,"(Mexican, 1883–1949)",(Mexican),(1883),(1949),(Male),1931,Oil on canvas,"45 x 55"" (114.3 x 139.7 cm)",Given anonymously,470.1937,Painting,Painting & Sculpture,1937-12-28,Y,79798,http://www.moma.org/collection/works/79798,http://www.moma.org/media/W1siZiIsIjE1MTM0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8dcdbbfe66cb0e61,,,,114.3,,,139.7,,
Ononimo from Insicuro Noncurante,Alighiero Boetti,630,"(Italian, 1940–1994)",(Italian),(1940),(1994),(Male),1966-75,One from a portfolio of eighty two mixed media prints,"each: 21 5/8 x 17 11/16"" (55 x 45 cm)",Committee on Prints and Illustrated Books Fund with support from Marie-Josée and Henry R. Kravis,898.2010.45,Print,Drawings & Prints,2010-11-10,Y,157012,http://www.moma.org/collection/works/157012,http://www.moma.org/media/W1siZiIsIjIxOTcxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=38769ddf8375b9b3,,,,55.0,,,45.0,,
Fourteen Etchings 2,Terry Winters,6408,"(American, born 1949)",(American),(1949),(0),(Male),1989,"One etching, aquatint and photogravure from a portfolio of fourteen etching and aquatints thirteen with photogravure","composition (irreg.): 13 11/16 x 7 9/16"" (34.7 x 19.2 cm); sheet: 18 3/4 x 14 3/16"" (47.6 x 36 cm)",Gift of Emily Fisher Landau,24.1990.2,Print,Drawings & Prints,1990-01-16,Y,9830,http://www.moma.org/collection/works/9830,http://www.moma.org/media/W1siZiIsIjIzNzc1MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=03692d38174706c6,,,,34.7,,,19.2,,
Plate IV (folio 13) from Façade,Louise Nevelson,4278,"(American, born Ukraine. 1899–1988)",(American),(1899),(1988),(Female),1966,Screenprint and screenprinted collage additions,"irreg composition  19 1/8 x 15 1/16"" (48.6 x 38.3 cm)","Gift of the artist, in honor of René d'Harnoncourt",116.1969.4,Illustrated Book,Drawings & Prints,1969-02-10,N,11622,,,,,,48.6,,,38.3,,
Untitled,Unknown photographer,8595,"",(),(0),(0),(),1929-32,Album of 467 gelatin silver prints,"11 × 15"" (27.9 × 38.1 cm)",Gift of Peter J. Cohen,890.2010.13,Photograph,Photography,2010-10-07,N,174458,,,,,,27.9400558801,,,38.1000762002,,
All Men Are Brothers (Shui Hu Chuan),Miguel Covarrubias,1279,"(Mexican, 1904–1957)",(Mexican),(1904),(1957),(Male),1948,Illustrated book with fifty-six line block reproductions after drawings (thirty-two with stencil),"page  12 3/16 x 8 7/8"" (31 x 22.5 cm)
The Stalkers,Michael Scoggins,28799,"(American, born 1973)",(American),(1973),(0),(Male),2004,"Felt-tip pen, colored pencil, and pencil on paper","67 1/2 x 52"" (171.5 x 132.1 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,3045.2005,Drawing,Drawings & Prints,2005-05-10,Y,97348,http://www.moma.org/collection/works/97348,http://www.moma.org/media/W1siZiIsIjk1NzY5Il0sWyJwIiwiY29udmVydCIsIi1yZXNpemUgMzAweDMwMFx1MDAzZSJdXQ.jpg?sha=3bb60f2e265c1749,,,,171.4503429007,,,132.0802641605,,
"Der Besuch (plate, folio 14) from Ecce Homo",George Grosz,2374,"(American, born Germany. 1893–1959)",(American),(1893),(1959),(Male),1922–23 (original executed in 1920),One from an illustrated book with 100 offset lithograph reproductions,"composition (irreg.): 7 15/16 × 10 1/8"" (20.1 × 25.7 cm); page (each approx.): 13 11/16 × 9 13/16"" (34.8 × 25 cm)",The Louis E. Stern Collection,854.1964.11,Illustrated Book,Drawings & Prints,1964-10-06,Y,151543,http://www.moma.org/collection/works/151543,http://www.moma.org/media/W1siZiIsIjEyMzE4OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=05b6c8f2fc5c2d2b,,,,20.1,,,25.7,,
Bowl,Göran Hongell,2720,"(Finnish, 1902–1973)",(Finnish),(1902),(1973),(Male),1930s,Crystal,"3 5/8 x 7 3/8"" (9.2 x 18.7 cm)",Gift of Finland Ceramics & Glass Corp.,109.1948,Design,Architecture & Design,1948-03-17,Y,2150,http://www.moma.org/collection/works/2150,http://www.moma.org/media/W1siZiIsIjIyNzk2NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a15480082f01b8c5,,,18.7325,9.2,,,,,
Will Burtin letterhead (Letter to Alvin Lustig),Will Burtin,48913,"(American, born Germany. 1908–1972)",(American),(1908),(1972),(Male),1950,Letterpress,"10 × 7 1/4"" (25.4 × 18.4 cm)","Elaine Lustig Cohen Collection, gift of Lawrence Benenson and the Committee on Architecture and Design Funds",1163.2015.3,Design,Architecture & Design,2015-10-19,Y,207015,http://www.moma.org/collection/works/207015,,,,,25.4000508001,,,18.4150368301,,
In-text plate (page 89) from Les Histoires du Petit Renaud,Pierre Bonnard,665,"(French, 1867–1947)",(French),(1867),(1947),(Male),1927,"One from an illustrated book with 52 line block and pochoir reproductions after pen and ink drawings (including duplicates on wrapper front and title page), printed in color","page (each): 11 x 8 3/4"" (28 x 22.2 cm)",The Louis E. Stern Collection,695.1964.50,Illustrated Book,Drawings & Prints,1964-10-06,N,155717,,,,,,28.0,,,22.2,,
Backs II: Henrietta,James Siena,23005,"(American, born 1957)",(American),(1957),(0),(Male),2007,One from a series of five lithographs,"composition (irreg.): 16 7/8 × 18 13/16"" (42.9 × 47.8 cm); sheet (irreg.): 16 7/8 × 21 15/16"" (42.9 × 55.7 cm)",Gift of Emily Fisher Landau,1389.2009.2,Print,Drawings & Prints,2009-11-17,Y,296743,http://www.moma.org/collection/works/296743,http://www.moma.org/media/W1siZiIsIjE3ODM3MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b8571a9c0568d502,,,,42.9,,,47.8,,
Factory,Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),263,"(German, 1892–1927)",(German),(1892),(1927),(Male),(1920),Ink and crayon on paper,"13 3/4 x 14 1/4"" (34.8 x 36.1 cm)",Purchase,22.1962,Drawing,Drawings & Prints,1962-01-09,Y,33303,http://www.moma.org/collection/works/33303,http://www.moma.org/media/W1siZiIsIjEyMDAzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=5b48b0e53c8b9b5e,,,,34.9,,,36.2,,
A Bench in the Bronx on Sunday,Walker Evans,1777,"(American, 1903–1975)",(American),(1903),(1975),(Male),1933,"Gelatin silver print, printed by Charlie Rodemeyer","3 × 9 7/16"" (7.6 × 24 cm)",Gift of the artist,354.2015,Photograph,Photography,2015-05-28,Y,130488,http://www.moma.org/collection/works/130488,http://www.moma.org/media/W1siZiIsIjI4MjM5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6a124a21a285e22b,,,,7.6,,,24.0,,
Figure 1 from Black Numeral Series,Jasper Johns,2923,"(American, born 1930)",(American),(1930),(0),(Male),1968,One from a series of ten lithographs,"composition: 27 3/4 × 21 3/4"" (70.5 × 55.3 cm); sheet: 37 × 30"" (94 × 76.2 cm)",John B. Turner Fund,881.1969.2,Print,Drawings & Prints,1969-10-28,Y,74615,http://www.moma.org/collection/works/74615,http://www.moma.org/media/W1siZiIsIjIwOTQ3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8337e92f9f07a3cd,,,,70.5,,,55.3,,
7 11/16 × 9 11/16"" (19.52625 × 0 × 0 cm)",Gift of Mr. and Mrs. Arnold M. Gilbert,95.1985.a-b,Photograph,Photography,1985-03-27,N,46188,,,,,,19.5,,,24.6,,
[Barr Chart],George Maciunas,21398,"(American, born Lithuania. 1931–1978)",(American),(1931),(1978),(Male),ca. 1960-75,Ink and graphite on lined paper,"sheet: 10 3/16 x 7 15/16"" (25.9 x 20.2 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,2338.2008,Drawing,Drawings & Prints,2008-10-08,N,128236,,,,,,25.9,,,20.2,,
"Garrapata Beach, California",Brett Weston,6327,"(American, 1911–1993)",(American),(1911),(1993),(Male),1954,Gelatin silver print,"9 5/8 × 7 5/8"" (24.5 × 19.5 cm)",Gift of David H. McAlpin,1841.1968,Photograph,Photography,1968-05-01,Y,58424,http://www.moma.org/collection/works/58424,http://www.moma.org/media/W1siZiIsIjE5MzE5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e342332f6a039daa,,,,24.5,,,19.5,,
Frontispiece from ENTWURF EINER LANDSCHAFT,Gaston Louis Roux,5059,"(French, 1904–1988)",(French),(1904),(1988),(Male),1930,,"irreg. composition  6 3/8 x 5 1/2"" (16.2 x 14 cm)",Curt Valentin Bequest,127.1956.1,Illustrated Book,Drawings & Prints,1956-03-19,N,11688,,,,,,16.2,,,14.0,,
Back Wheel,Pierre Alechinsky,107,"(Belgian, born 1927)",(Belgian),(1927),(0),(Male),1971,Lithograph,"composition (irreg.): 24 5/8 x 18 1/4"" (62.6 x 46.4 cm); sheet: 25 13/16 x 19"" (65.6 x 48.2 cm)",Gift of the artist,219.1972,Print,Drawings & Prints,1972-05-08,Y,64623,http://www.moma.org/collection/works/64623,http://www.moma.org/media/W1siZiIsIjIxNTEzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=642f86e541b0e4ec,,,,62.6,,,46.4,,
"Think Ethyl Say ""BP""",Tom Purvis,4757,"(British, 1889–1959)",(British),(1889),(1959),(Male),c. 1932-37,Lithograph,"30 x 45 1/4"" (76.2 x 114.9 cm)",Gift of Shell - Mex B P,428.1937,Design,Architecture & Design,1937-11-22,Y,6872,http://www.moma.org/collection/works/6872,http://www.moma.org/media/W1siZiIsIjY3MjQiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=b9489adae4b892f8,,,,76.2,,,114.9352,,
It Breaks If They Are Separated,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),2002,"Drypoint, with hand additions","plate: 9 15/16 x 11 7/8"" (25.3 x 30.2 cm); sheet: 11 x 15 3/16"" (28 x 38.5 cm)",Gift of the artist,1728.2008,Print,Drawings & Prints,2008-10-08,Y,119709,http://www.moma.org/collection/works/119709,http://www.moma.org/media/W1siZiIsIjE2NjE2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=539bfa005f3c3ce5,,,,25.3,,,30.2,,
In-text plate (page 21) from Wunderhorn,Max Ernst,1752,"(French and American, born Germany. 1891–1976)",(French),(1891),(1976),(Male),1970,Lithograph from an illustrated book with 36 lithographs,"composition (irreg.): 7 11/16 × 8 7/16"" (19.6 × 21.5 cm); page: 12 5/8 × 9 13/16"" (32 × 25 cm)",Gift of Dain Gallery,374.1971.9,Illustrated Book,Drawings & Prints,1971-03-30,N,16419,,,,,,19.6,,,21.5,,
"L'Estampe Moderne, Number 14","J. G. Besson, A. Giraldon, Henri Le Sidaner, Théophile-Alexandre Steinlen, Various Artists","6688, 6689, 6690, 5634, 24409","(French, born 1868–?) (Nationality unknown) (Nationality unknown) (French, 1859–1923)",(French) (Nationality unknown) (Nationality unknown) (French) (),(1868) (0) (0) (1859) (0),(0) (0) (0) (1923) (0),(Male) () (Male) (Male) (),published June 1898,Portfolio with four lithographs,,Gift of Mr. and Mrs. E. Powis Jones,355.1958.1-4,Print,Drawings & Prints,1958-12-19,N,67569,,,,,,,,,,,
Bedroom Interior with Wash Stand,Wright Morris,4109,"(American, 1910–1998)",(American),(1910),(1998),(Male),1952,Gelatin silver print,"9 1/2 × 7 1/2"" (24.2 × 19.0 cm)",Courtesy of the photographer,2611.1967,Photograph,Photography,1967-12-13,N,58922,,,,,,24.2,,,19.0,,
Krabat Jockey,"Aleksander Borgenhov, Geir Eide, Lina Aker, Tom-Arne Solhaug, Fredrik Brodtkorb","37940, 37941, 37942, 37939, 37943","(Norwegian, born 1971) (Norwegian, born 1963) (Norwegian, born 1979) (Norwegian, born 1969) (Norwegian, born 1971)",(Norwegian) (Norwegian) (Norwegian) (Norwegian) (Norwegian),(1971) (1963) (1979) (1969) (1971),(0) (0) (0) (0) (0),(Male) () () (Male) (),2007,"Aluminium, ABS plastics, steel, microfiber textiles","44 x 31 1/2 x 24 13/16"" (111.8 x 80 x 63 cm)",Gift of the manufacturer,129.2010,Design,Architecture & Design,2010-03-10,Y,134273,http://www.moma.org/collection/works/134273,http://www.moma.org/media/W1siZiIsIjIzMjMyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=566b5aac9fa73721,,62.9921259843,,111.7602235204,,,80.0101600203,,
"Untitled, no. 6 of 23, from the illustrated book, Ode à la Bièvre",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),2007,Digital print,"page: 11 x 15 9/16"" (28 x 39.5 cm)",Gift of the artist,337.2009.7,Illustrated Book,Drawings & Prints,2009-04-14,Y,130712,http://www.moma.org/collection/works/130712,http://www.moma.org/media/W1siZiIsIjMwMjIyMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eb4bf566db3b68f2,,,,28.0,,,35.0,,
Medusa #7,Robert Motherwell,4126,"(American, 1915–1991)",(American),(1915),(1991),(Male),1977,"Oil, oil wash, and ink on paper panel mounted on plywood","30 x 22 1/2"" (76.3 x 57 cm)",Gift of the artist,643.1987,Drawing,Drawings & Prints,1988-02-19,Y,37695,http://www.moma.org/collection/works/37695,http://www.moma.org/media/W1siZiIsIjE2ODc0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1a1ea04aa4e188c6,,,,76.2,,,57.1,,
"Wolf House, Gubin, Poland (Third floor plan)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),1925-1927,Print,"14 1/2 x 15 1/2"" (36.8 x 39.4 cm)","Mies van der Rohe Archive, gift of the architect
À Baudelaire,Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),2008,"Etching, with hand additions","plate (in 2 vertical parts) (overall): 59 1/16 × 37 3/16"" (150 × 94.4 cm); sheet: 59 1/16 x 37 7/16"" (150 x 95.1 cm)",Gift of the artist,90.2012,Print,Drawings & Prints,2012-02-07,Y,150162,http://www.moma.org/collection/works/150162,http://www.moma.org/media/W1siZiIsIjI0OTM5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a10196ac602fa1e2,,,,150.0,,,94.4,,
Untitled,Joseph Beuys,540,"(German, 1921–1986)",(German),(1921),(1986),(Male),n.d.,Pencil on paper,"8 1/4 x 5 3/4"" (20.9 x 14.6 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1274.2005,Drawing,Drawings & Prints,2005-05-10,Y,95507,http://www.moma.org/collection/works/95507,http://www.moma.org/media/W1siZiIsIjExMzYxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=adc58a6c0bb53e1e,,,,20.9,,,14.605,,
"Flight Bridge Project, Luxembourg, Elevation",Paolo Soleri,8101,"(American, born Italy. 1919–2013)",(American),(1919),(2013),(Male),1958,Silkscreen on paper,"21 3/4 x 59 1/4"" (55.2 x 150.5 cm)",Gift of the architect,111.2013,Architecture,Architecture & Design,1966-01-01,Y,166232,http://www.moma.org/collection/works/166232,http://www.moma.org/media/W1siZiIsIjI2MDc4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=becdcbf3bb7f875b,,,,55.2451104902,,,150.4953009906,,
MEAUX. MOULINS,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1910,Matte albumen silver print,,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.4077,Photograph,Photography,1968-03-06,N,42298,,,,,,,,,,,
"Untitled, plate 2 of 5, from the illustrated book, and plate 2 of 7, from the portfolio, Metamorfosis",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(Female),1997,"Etching and drypoint, with hand additions","plate: 11 3/4 x 11 3/4"" (29.8 x 29.8 cm); sheet: 15 7/8 x 15 15/16"" (40.4 x 40.5 cm)",Gift of the artist,703.2008,Print,Drawings & Prints,2008-06-18,Y,84320,http://www.moma.org/collection/works/84320,http://www.moma.org/media/W1siZiIsIjI2NzQyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c3792d6f64acdf29,,,,29.8,,,29.8,,
Double page plate (between pages 28 and 29) from King Ubu (Ubu Roi),Joan Miró,4016,"(Spanish, 1893–1983)",(Spanish),(1893),(1983),(Male),1966,Lithograph from an illustrated book with thirteen lithographs,"composition: 16 3/16 × 24 11/16"" (41.1 × 62.7 cm); sheet: 16 9/16 × 25 7/16"" (42.1 × 64.6 cm)",Abby Aldrich Rockefeller Fund (by exchange),298.1992.3,Illustrated Book,Drawings & Prints,1992-05-20,Y,14917,http://www.moma.org/collection/works/14917,http://www.moma.org/media/W1siZiIsIjQ1NzcyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ab9201024136c065,,,,41.1,,,62.7,,
"""Kleinen Sommerfest"" Galerie Parnass, Wuppertal","","","","","","","","June 9, 1962",Cassette,,The Gilbert and Lila Silverman Fluxus Collection Gift,FC3648.2,Audio,Fluxus Collection,2008-10-08,N,222934,,,,0.0,,0.0,,,0.0,,
"Night Forest (plate, page 71) from Feuilles éparses",Stanley William Hayter,2558,"(British, 1901–1988)",(British),(1901),(1988),(Male),"1963, published 1965","Etching from an illustrated book with nine etchings (two with aquatint, one with aquatint and drypoint), two engravings, one aquatint, one drypoint, and one woodcut","plate: 8 1/8 × 6 7/8"" (20.7 × 17.4 cm); page: 9 7/16 × 7 7/8"" (24 × 20 cm)",Donald Karshan Fund,202.1970.9,Illustrated Book,Drawings & Prints,1970-05-12,Y,13394,http://www.moma.org/collection/works/13394,,,,,20.7,,,17.4,,
Tray,James Prestini,4729,"(American, born Italy. 1908–1993)",(American),(1908),(1993),(Male),c. 1939,Sycamore wood,"diam. 14 3/4"" (37.5 cm)",Gift of Dorothy Liebes,113.1957,Design,Architecture & Design,1957-05-15,Y,2169,http://www.moma.org/collection/works/2169,http://www.moma.org/media/W1siZiIsIjIwMTAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=e1dfebfe8957e7de,,,37.5,,,,,,
Reclining Chair without Arms (Elevation sketch),Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(Male),early 1930s,Pencil on paper,"8 5/16 x 11 11/16"" (21.1 x 29.7 cm)","Mies van der Rohe Archive, gift of the architect",575.1974,Mies van der Rohe Archive,Architecture & Design,1974-11-06,Y,106303,http://www.moma.org/collection/works/106303,http://www.moma.org/media/W1siZiIsIjIyMzYwNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8edf895ab88fac72,,,,21.1138,,,29.6863,,
"Hôtel Fieubet, quai des Célestins,",Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),Avril 1921,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3635,Photograph,Photography,1968-03-06,N,41808,,,,,,,,,,,
"Working material for V TRE #7: Symphony No. 3 ""On the Floor"", performed during rehearsal for Fluxorchestra at Carnegie Recital Hall, New York, September 23, 1965",George Brecht,756,"(American, 1926–2008)",(American),(1926),(2008),(Male),1965,Offset lithograph with presstype,"sheet: 3 1/8 × 6 9/16"" (8 × 16.6 cm)","The Gilbert and Lila Silverman Fluxus Collection Archive, The Museum of Modern Art Archive",FC3790.5,Photograph,Fluxus Collection,2008-10-08,N,150094,,,,,,8.0,,,16.6,,
"Fritz Frederick, Boston Medical Center",Nicholas Nixon,4315,"(American, born 1947)",(American),(1947),(0),(Male),2008,Gelatin silver print,"22 9/16 × 17 15/16"" (57.3 × 45.6 cm)
English Railway poster,Unknown Artist,23390,(Nationality unknown),(Nationality unknown),(0),(0),(),1900-1943,Poster,,Gift of G. E. Kidder Smith,425.1943,Design,Architecture & Design,1943-05-12,N,6713,,,,,,,,,,,
Antigua de Guatemala,Eadweard J. Muybridge,4192,"(American, born England. 1830–1904)",(American),(1830),(1904),(Male),1875,Albumen silver print,"5 3/16 × 9 3/8"" (13.2 × 23.8 cm)",Transferred from the Museum Library,182.1964.60,Photograph,Photography,1964-02-11,N,47863,,,,,,13.2,,,23.8,,
Baiser de la fee:  Costume for the ballet,Alice Halicka,2461,"(Polish, 1895–1975)",(Polish),(1895),(1975),(Female),1937,Tempera and watercolor on paper,"21 x 13"" (53.3 x 33 cm)",Gift of Lincoln Kirstein,510.1941.4,Drawing,Drawings & Prints,1941-01-01,Y,86243,http://www.moma.org/collection/works/86243,http://www.moma.org/media/W1siZiIsIjQyOTk5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=da04d69c6f63e349,,,,53.3401,,,33.0201,,
","plate: 23 15/16 x 32 13/16"" (60.8 x 83.3cm); sheet: 28 1/16 x 39 3/16"" (71.3 x 99.5cm)",Gift of Eliza Parkinson Cobb,314.1985,Print,Drawings & Prints,1985-10-07,Y,66740,http://www.moma.org/collection/works/66740,http://www.moma.org/media/W1siZiIsIjM0Mzc5NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c38b5c9b9b7f2507,,,,60.8,,,83.3,,
Reclining Figure with Sea Background from Reclining Figures,Henry Moore,4071,"(British, 1898–1986)",(British),(1898),(1986),(Male),1973,One from a portfolio of six lithographs,"composition: 18 7/16 × 14 7/8"" (46.8 × 37.8 cm); sheet: 25 9/16 × 19 7/8"" (65 × 50.5 cm)",Gift of Dr. and Mrs. Maurice Abitol,738.1993.1,Print,Drawings & Prints,1994-01-25,Y,73683,http://www.moma.org/collection/works/73683,http://www.moma.org/media/W1siZiIsIjIwNTg1NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3c4e9b9b751fd76a,,,,46.8,,,37.8,,
SCEAUX LES CHARTREUX,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(Male),1924,Matte albumen silver print,,Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.2742,Photograph,Photography,1968-03-06,N,40744,,,,,,,,,,,
"Hotel Event, performed at Waldorf Astoria, New York, June 4, 1966","Peter Moore, Hi Red Center","37006, 36946","(American, 1932–1993) (Japanese, 1963–1964)",(American) (),(1932) (1963),(1993) (1964),(Male) (),1966,Gelatin silver print,"image and sheet: 6 1/2 × 6"" (16.5 × 15.2 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3204.2008.68,Photograph,Drawings & Prints,2008-10-08,N,201609,,,,,,16.5100330201,,,15.2400304801,,
Tactile Box,Ay-O,255,"(Japanese, born 1931)",(Japanese),(1931),(0),(Male),c. 1964,"Cardboard box with screenprint and rubber opening, containing textiles","overall: 12 3/16 × 12 3/16 × 12 3/8"" (31 × 31 × 31.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,FC3660,Multiple,Fluxus Collection,2008-10-08,N,137647,,,,31.5,,31.0,,,31.0,,
"Eleanor and Barbara, Chicago",Harry Callahan,924,"(American, 1912–1999)",(American),(1912),(1999),(Male),1954,Gelatin silver print,"6 7/8 × 6 3/4"" (17.5 × 17.1 cm)",Purchase,212.1962,Photograph,Photography,1962-05-08,Y,48597,http://www.moma.org/collection/works/48597,http://www.moma.org/media/W1siZiIsIjM0NjAiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=2671d5b5835c7c74,,,,17.4625349251,,,17.1450342901,,
Black Flag at S.I.R.,Raymond Pettibon,7500,"(American, born 1957)",(American),(1957),(0),(Male),"November 27, 1982",Offset lithograph,"sheet: 11 x 8 1/2"" (28 x 21.6 cm)",Acquired from The Eileen and Michael Cohen Collection through the The Sue and Edgar Wachenheim III Endowment,1089.2014.213,Print,Drawings & Prints,2014-12-17,Y,191203,http://www.moma.org/collection/works/191203,http://www.moma.org/media/W1siZiIsIjMyMTI5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=06829cbdd1a8fffa,,,,,,,,,
